invoice_id,customer_id,amount,due_date,customer_historic_dso,customer_prior_disputes,customer_prior_writeoffs,po_mismatch_flag,partial_delivery_flag,customer_pays_after_day_of_month,email_opened,email_replied,is_msme_supplier,latent_cause,hidden_liquidity_day,hidden_ptp_will_promise,hidden_ptp_delay_days,hidden_optout_after_contacts,hidden_clue_noise
INV-0001,CUST-0001,148100.0,2026-05-01,97,0,0,False,False,17,False,False,True,CHRONIC,-1,True,17,0,False
INV-0002,CUST-0002,256500.0,2026-04-13,41,0,0,False,False,12,True,False,False,FORGOTTEN,-1,False,12,0,False
INV-0003,CUST-0003,58700.0,2026-04-27,101,0,2,False,False,11,True,False,True,CHRONIC,-1,True,13,0,False
INV-0004,CUST-0004,237800.0,2026-06-01,45,0,1,False,False,1,False,False,True,FORGOTTEN,-1,True,8,0,False
INV-0005,CUST-0005,31600.0,2026-05-25,40,0,0,False,False,14,True,True,False,FORGOTTEN,-1,True,19,0,False
INV-0006,CUST-0006,53900.0,2026-04-02,84,3,1,False,False,23,False,False,False,CASH_CRUNCH,42,True,19,0,True
INV-0007,CUST-0007,66600.0,2026-04-17,28,0,0,True,False,5,True,True,False,FORGOTTEN,-1,True,18,0,False
INV-0008,CUST-0008,777800.0,2026-06-27,93,0,3,False,False,5,False,False,True,CHRONIC,-1,True,9,0,False
INV-0009,CUST-0009,164100.0,2026-04-21,45,3,0,False,True,3,True,True,False,DISPUTE,-1,False,9,0,False
INV-0010,CUST-0010,202300.0,2026-06-16,44,0,0,False,False,8,True,False,False,FORGOTTEN,-1,False,16,0,False
INV-0011,CUST-0011,23100.0,2026-06-21,67,1,0,False,False,24,True,True,False,CASH_CRUNCH,57,True,12,0,False
INV-0012,CUST-0012,182300.0,2026-04-13,78,0,0,False,False,20,False,False,True,CASH_CRUNCH,42,True,21,0,False
INV-0013,CUST-0013,101000.0,2026-06-15,87,0,1,False,False,20,False,False,True,CHRONIC,-1,True,10,0,False
INV-0014,CUST-0014,212900.0,2026-04-18,57,0,0,False,False,5,False,False,False,FORGOTTEN,-1,True,9,0,False
INV-0015,CUST-0015,156700.0,2026-06-16,46,3,0,False,True,9,True,True,False,DISPUTE,-1,False,20,0,False
INV-0016,CUST-0016,60200.0,2026-04-01,39,0,0,False,False,13,True,False,True,FORGOTTEN,-1,False,14,0,False
INV-0017,CUST-0017,166400.0,2026-05-13,47,2,0,True,False,10,False,False,False,CASH_CRUNCH,59,True,20,0,True
INV-0018,CUST-0018,27100.0,2026-04-27,51,2,0,False,False,8,False,False,False,DISPUTE,-1,False,21,0,False
INV-0019,CUST-0019,194700.0,2026-05-04,72,0,1,False,False,20,True,False,True,CASH_CRUNCH,48,False,20,2,False
INV-0020,CUST-0020,82800.0,2026-05-25,38,4,0,False,False,8,True,True,True,DISPUTE,-1,True,7,0,False
INV-0021,CUST-0021,31300.0,2026-04-08,58,1,0,False,False,11,False,False,False,FORGOTTEN,-1,True,17,0,False
INV-0022,CUST-0022,538300.0,2026-05-15,64,0,0,False,False,27,True,True,True,CASH_CRUNCH,61,False,10,0,False
INV-0023,CUST-0023,28000.0,2026-06-20,93,1,1,False,False,15,False,False,False,CHRONIC,-1,False,15,0,False
INV-0024,CUST-0024,103200.0,2026-05-21,50,0,0,False,False,14,True,False,True,FORGOTTEN,-1,True,7,0,False
INV-0025,CUST-0025,57000.0,2026-04-27,70,4,0,True,False,6,True,True,True,DISPUTE,-1,True,21,0,False
INV-0026,CUST-0026,98300.0,2026-04-21,51,0,0,True,False,25,True,False,True,FORGOTTEN,-1,True,12,0,True
INV-0027,CUST-0027,15400.0,2026-04-24,43,0,0,True,True,8,True,False,False,DISPUTE,-1,False,14,0,False
INV-0028,CUST-0028,248000.0,2026-04-17,110,0,1,False,False,6,True,False,True,CHRONIC,-1,False,9,4,False
INV-0029,CUST-0029,91600.0,2026-06-16,74,0,0,False,True,22,True,True,False,CASH_CRUNCH,66,True,21,0,False
INV-0030,CUST-0030,129300.0,2026-04-03,83,0,1,False,False,22,True,True,True,CASH_CRUNCH,46,True,19,0,False
INV-0031,CUST-0031,114600.0,2026-05-16,82,0,0,False,False,22,True,False,True,CASH_CRUNCH,43,True,18,0,False
INV-0032,CUST-0032,170600.0,2026-06-27,51,0,0,False,False,3,True,True,True,FORGOTTEN,-1,True,16,0,False
INV-0033,CUST-0033,90000.0,2026-06-23,75,1,0,False,False,27,True,False,True,CASH_CRUNCH,63,True,15,0,False
INV-0034,CUST-0034,159800.0,2026-04-18,58,1,1,False,True,10,False,False,True,DISPUTE,-1,False,17,0,False
INV-0035,CUST-0035,89400.0,2026-06-17,40,1,0,False,False,24,True,True,True,CASH_CRUNCH,64,False,17,0,False
INV-0036,CUST-0036,271800.0,2026-05-01,83,1,3,False,False,11,False,False,True,CHRONIC,-1,False,13,0,False
INV-0037,CUST-0037,35800.0,2026-04-26,45,0,0,False,False,6,True,False,False,FORGOTTEN,-1,False,12,0,False
INV-0038,CUST-0038,147000.0,2026-06-08,61,0,0,False,False,26,True,True,False,CASH_CRUNCH,55,True,11,0,False
INV-0039,CUST-0039,83100.0,2026-04-08,30,0,0,False,False,7,False,False,True,FORGOTTEN,-1,True,8,0,False
INV-0040,CUST-0040,127800.0,2026-04-17,78,1,2,False,False,8,False,False,True,CHRONIC,-1,True,10,4,False
INV-0041,CUST-0041,103300.0,2026-06-19,96,0,4,False,False,24,False,False,False,CHRONIC,-1,False,8,0,False
INV-0042,CUST-0042,279600.0,2026-05-05,60,1,0,False,False,16,True,True,False,DISPUTE,-1,False,21,0,False
INV-0043,CUST-0043,180200.0,2026-06-14,68,0,0,False,False,21,False,False,True,CASH_CRUNCH,44,True,19,0,False
INV-0044,CUST-0044,123800.0,2026-05-10,109,2,3,False,True,16,False,False,False,FORGOTTEN,-1,True,21,0,True
INV-0045,CUST-0045,232600.0,2026-05-01,48,0,0,False,False,3,True,False,False,FORGOTTEN,-1,False,14,0,False
INV-0046,CUST-0046,113700.0,2026-06-21,59,4,1,False,True,9,True,True,True,CHRONIC,-1,True,17,0,True
INV-0047,CUST-0047,46800.0,2026-06-22,63,1,0,False,False,6,True,True,True,DISPUTE,-1,False,7,0,False
INV-0048,CUST-0048,307400.0,2026-04-23,83,0,2,False,False,19,False,False,False,CHRONIC,-1,True,18,0,False
INV-0049,CUST-0049,288200.0,2026-06-03,49,0,0,False,False,7,False,False,False,DISPUTE,-1,False,13,0,False
INV-0050,CUST-0050,133500.0,2026-05-29,33,2,1,False,False,8,True,False,False,FORGOTTEN,-1,True,16,0,False
INV-0051,CUST-0051,28600.0,2026-04-26,110,2,0,False,False,4,True,False,True,CHRONIC,-1,True,19,0,False
INV-0052,CUST-0052,216000.0,2026-04-11,120,2,0,False,False,6,False,False,True,CHRONIC,-1,True,13,0,False
INV-0053,CUST-0053,331700.0,2026-04-17,42,0,0,False,False,1,True,False,True,FORGOTTEN,-1,False,14,0,False
INV-0054,CUST-0054,131500.0,2026-05-15,31,0,0,False,False,7,True,False,False,FORGOTTEN,-1,False,9,0,False
INV-0055,CUST-0055,109800.0,2026-05-29,46,0,0,True,False,3,False,False,True,CHRONIC,-1,True,12,0,True
INV-0056,CUST-0056,19800.0,2026-05-12,51,0,1,False,False,25,True,True,True,CASH_CRUNCH,47,True,17,0,False
INV-0057,CUST-0057,224800.0,2026-06-22,49,0,0,False,False,1,False,False,False,FORGOTTEN,-1,True,12,0,False
INV-0058,CUST-0058,82800.0,2026-06-14,17,0,0,False,False,6,True,False,True,FORGOTTEN,-1,True,12,0,False
INV-0059,CUST-0059,58400.0,2026-04-29,39,0,0,False,False,23,True,True,True,CASH_CRUNCH,57,True,9,0,False
INV-0060,CUST-0060,39700.0,2026-04-20,58,0,0,False,False,21,True,False,False,FORGOTTEN,-1,True,12,0,True
INV-0061,CUST-0061,156800.0,2026-06-23,31,0,0,False,False,10,True,False,True,FORGOTTEN,-1,True,19,0,False
INV-0062,CUST-0062,242600.0,2026-06-13,35,0,0,False,False,10,True,False,True,FORGOTTEN,-1,False,8,0,False
INV-0063,CUST-0063,122900.0,2026-05-06,71,1,1,False,False,24,False,False,True,CASH_CRUNCH,55,True,19,0,False
INV-0064,CUST-0064,29500.0,2026-04-25,58,1,0,False,False,13,False,False,False,FORGOTTEN,-1,False,16,0,False
INV-0065,CUST-0065,108100.0,2026-05-21,59,2,0,True,True,9,True,True,False,DISPUTE,-1,False,18,0,False
INV-0066,CUST-0066,166400.0,2026-04-08,49,0,0,False,False,2,True,True,False,FORGOTTEN,-1,True,20,0,False
INV-0067,CUST-0067,80800.0,2026-05-21,22,0,0,False,False,1,False,False,False,FORGOTTEN,-1,True,19,0,False
INV-0068,CUST-0068,48900.0,2026-05-21,65,3,0,False,False,21,False,False,True,CASH_CRUNCH,43,True,10,0,False
INV-0069,CUST-0069,117600.0,2026-05-31,83,0,3,False,True,27,False,False,False,CHRONIC,-1,True,14,3,False
INV-0070,CUST-0070,182900.0,2026-06-12,66,0,0,False,False,24,True,False,False,CHRONIC,-1,True,10,0,True
INV-0071,CUST-0071,273600.0,2026-05-17,40,0,0,True,False,6,False,False,True,FORGOTTEN,-1,True,21,0,False
INV-0072,CUST-0072,273700.0,2026-05-06,29,0,0,False,False,14,True,False,False,FORGOTTEN,-1,True,17,0,False
INV-0073,CUST-0073,197900.0,2026-05-05,50,2,1,False,False,12,False,False,False,DISPUTE,-1,True,19,0,False
INV-0074,CUST-0074,73600.0,2026-06-23,106,1,1,False,False,16,True,False,True,CHRONIC,-1,True,9,0,False
INV-0075,CUST-0075,190400.0,2026-05-16,77,4,0,True,True,3,True,False,False,DISPUTE,-1,False,9,0,False
INV-0076,CUST-0076,170500.0,2026-06-09,55,0,0,False,False,13,False,False,True,FORGOTTEN,-1,True,11,0,False
INV-0077,CUST-0077,80700.0,2026-04-25,74,0,2,False,False,24,False,False,False,CHRONIC,-1,True,8,0,False
INV-0078,CUST-0078,89500.0,2026-06-20,35,0,0,False,False,15,True,False,False,FORGOTTEN,-1,True,14,0,False
INV-0079,CUST-0079,124400.0,2026-04-05,82,0,3,False,False,27,False,False,False,CHRONIC,-1,True,21,0,False
INV-0080,CUST-0080,84400.0,2026-04-26,41,0,0,False,False,26,False,False,True,CASH_CRUNCH,62,True,11,0,False
INV-0081,CUST-0081,45700.0,2026-04-14,63,1,0,False,False,21,True,True,False,CASH_CRUNCH,47,True,11,0,False
INV-0082,CUST-0082,135100.0,2026-06-07,71,1,2,False,False,2,False,False,True,CHRONIC,-1,True,20,0,False
INV-0083,CUST-0083,101300.0,2026-05-26,73,0,0,False,False,23,True,False,False,CASH_CRUNCH,55,False,14,0,False
INV-0084,CUST-0084,26300.0,2026-06-11,69,0,0,True,True,9,True,False,False,DISPUTE,-1,True,15,2,False
INV-0085,CUST-0085,62500.0,2026-04-18,84,0,1,False,False,13,False,False,False,CHRONIC,-1,True,12,2,False
INV-0086,CUST-0086,42700.0,2026-05-08,28,0,0,False,False,15,False,False,True,FORGOTTEN,-1,True,10,0,False
INV-0087,CUST-0087,350000.0,2026-06-20,57,2,1,True,False,5,True,True,False,DISPUTE,-1,False,12,4,False
INV-0088,CUST-0088,148700.0,2026-05-08,54,2,0,True,False,14,True,True,True,CASH_CRUNCH,66,False,9,0,True
INV-0089,CUST-0089,155500.0,2026-05-25,41,0,0,False,False,7,True,False,True,FORGOTTEN,-1,False,13,0,False
INV-0090,CUST-0090,142700.0,2026-06-10,35,0,0,False,False,5,True,True,False,FORGOTTEN,-1,True,13,0,False
INV-0091,CUST-0091,120900.0,2026-04-17,74,0,1,False,False,11,True,False,False,DISPUTE,-1,False,8,0,False
INV-0092,CUST-0092,84800.0,2026-04-23,26,1,0,True,False,10,True,False,False,DISPUTE,-1,False,18,0,False
INV-0093,CUST-0093,120200.0,2026-04-09,46,1,1,False,False,10,False,False,False,FORGOTTEN,-1,True,14,0,False
INV-0094,CUST-0094,73900.0,2026-04-20,26,1,0,False,False,5,True,False,False,FORGOTTEN,-1,True,13,0,False
INV-0095,CUST-0095,39000.0,2026-06-07,49,0,0,False,True,7,True,True,False,FORGOTTEN,-1,False,10,0,True
INV-0096,CUST-0096,301800.0,2026-05-11,90,0,0,False,False,20,True,True,False,CASH_CRUNCH,59,True,8,0,False
INV-0097,CUST-0097,34100.0,2026-05-05,19,0,0,False,False,11,True,True,False,FORGOTTEN,-1,True,20,0,False
INV-0098,CUST-0098,35000.0,2026-04-07,63,1,0,False,False,22,True,False,False,FORGOTTEN,-1,True,16,0,True
INV-0099,CUST-0099,68700.0,2026-04-11,57,0,1,False,False,21,True,False,False,CASH_CRUNCH,46,True,11,0,False
INV-0100,CUST-0100,105400.0,2026-05-10,70,0,0,False,False,22,True,False,True,CASH_CRUNCH,57,True,17,0,False
INV-0101,CUST-0101,248500.0,2026-05-25,120,0,4,False,False,3,False,False,False,CHRONIC,-1,True,16,0,False
INV-0102,CUST-0102,22700.0,2026-05-09,50,0,0,False,False,25,True,True,True,CASH_CRUNCH,45,True,16,0,False
INV-0103,CUST-0103,119900.0,2026-04-15,41,1,0,False,False,5,False,False,False,FORGOTTEN,-1,True,13,0,False
INV-0104,CUST-0104,239700.0,2026-05-28,31,1,0,False,False,14,False,False,True,DISPUTE,-1,False,12,0,False
INV-0105,CUST-0105,174200.0,2026-04-08,33,0,0,False,False,14,False,False,False,FORGOTTEN,-1,True,20,0,False
INV-0106,CUST-0106,217600.0,2026-04-11,52,2,0,True,False,11,True,True,False,DISPUTE,-1,False,21,3,False
